S.No,Topic,Original_Q_No,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Has_Image,Image_Path
1,Fundamentals of Nursing,702,"What is primary reason for gradual change of position of the patient after surgery?","To prevent sudden drop of BP","To prevent muscle injury","To prevent respiratory distress","None of the above","A","no",""
2,Fundamentals of Nursing,703,"Which of these parameters indicates infection in a postoperative patient?","Rectal temperature of 37.8 °C","Red, warm and tender incision site","Presence of an indwelling urinary catheter","White blood count of 6,000 cells/cu.mm","B","no",""
3,Fundamentals of Nursing,704,"A postoperative symptom that should be reported to the physician immediately:","temperature 101°F","an incisional pain","productive cough","audible bowel sounds","A","no",""
4,Fundamentals of Nursing,705,"Potential adverse effects of surgery and anesthesia are as follows, except:","Dehydration and electrolyte imbalance","Thrombosis from compression of blood vessels or stasis","Malignant hyperthermia/hypothermia","Myocardial depression, bradycardia, circulatory collapse","A","no",""
5,Fundamentals of Nursing,697,"You are a nurse assigned in recovery room or post-anesthetic care unit. The main priority of care in such area is:","Keeping airway intact","Keeping patient pain","Keeping neurological status stable","Keeping relatives informed of patient’s condition","A","no",""
6,Fundamentals of Nursing,698,"Ms. Anita asks the nurse when she can start eating after surgery. What is the most appropriate response by the nurse?","You’ll have to ask the doctor.","Tell me about your appetite.","You’ll likely start on clear fluids once bowel sounds can be heard.","I’ll have the dietitian consult with you about most nutritious post-surgery menus.","C","no",""
7,Fundamentals of Nursing,699,"Post operative wound is observed for:","Staining","Bleeding and discharge","Drainage","Pressure sore","B","no",""
8,Fundamentals of Nursing,700,"After a child returns from post-anesthesia care unit after surgery, which of the following would the Nurse assess first?","The intravenous fluid access site","The child’s level of pain","Surgical site dressing","Functioning of the Nasogastric tube","C","no",""
9,Fundamentals of Nursing,694,"The reason why lipstick and nail-polish is removed before surgery is:","Surgery becomes easier","Surgery becomes more successful","Psychological benefits to the patient","Cyanosis is checked","D","no",""
10,Fundamentals of Nursing,695,"A patient returns from surgery. Which nursing diagnosis takes priority at this time:","Ineffective breathing pattern","Deficient fluid volume","Imbalanced nutrition: less than body requirements","Diarrhea","A","no",""
11,Fundamentals of Nursing,696,"What is the priority nursing intervention for a patient in immediate post-operative period?","Observing for hemorrhage","Maintaining a patent airway","Recording the intake and output","Checking the vital signs every 15 minutes","B","no",""
12,Fundamentals of Nursing,689,"Which one of the following helps to reduce anxiety and post-operative pain?","Pre-operative teaching","Rest and sleep","Psychological counseling","Pre-operative checklist","A","no",""
13,Fundamentals of Nursing,690,"Patient's anxiety during preoperative period would decrease by which nursing actions:","Reassuring the patient that the surgical staff are competent professional","Spending time listening to the patient and answering questions","Encouraging sleep","Explaining all procedures thoroughly","B","no",""
14,Fundamentals of Nursing,691,"When preparing a client for surgery, which intervention should nurse implement first?","Check the permit for the spouse’s signature.","Take and document intake and output.","Administer the prescribed sedative.","Complete the preoperative checklist.","D","no",""
15,Fundamentals of Nursing,692,"Most important step in avoiding wrong site surgery is:","having a check list procedure before surgery","avoiding patients with the same name on list","avoiding patients with same conditions in list","having a short operation list","A","no",""
16,Fundamentals of Nursing,693,"A 40-year-old client scheduled to have elective facial surgery later in morning. Nurse notes the pulse rate is 130 beats/minute. Which following reasons best explains tachycardia?","Age","Anxiety","Exercise","Pain","B","no",""
17,Fundamentals of Nursing,686,"In relation to obtaining an informed consent from an adolescent, the nurse should be aware that the adolescent:","does not have legal capacity to give consent","is not able to make an acceptable or intelligent choice","is able to give voluntary consent when parents are not available","will most likely be unable to choose between alternatives when asked to consent","A","no",""
18,Fundamentals of Nursing,687,"In the care of polytrauma patient, the duty of nursing staff includes all of following except:","Ensuring intravenous access","Administering prescribed medication","Collecting laboratory specimen","Consent for emergency surgery","C","no",""
19,Fundamentals of Nursing,688,"Which laboratory result would require immediate intervention by the nurse for the client scheduled for surgery?","Calcium 9.2 mg/dl","Bleeding time 2 minutes","Hemoglobin 15 gm/dl","Potassium 2.4 mEq/L","D","no",""
20,Fundamentals of Nursing,682,"The doctrine of informed consent deals with:","Full disclosure of all relevant facts to patient","Patient confidentiality","Informing higher authorities about patient’s condition","Notification of diseases","A","no",""
21,Fundamentals of Nursing,683,"Type of consent in case of medical emergency, where doctors start emergency treatment to patients who cannot give informed consent, and for whom no immediate family can be reached to make such decisions:","Implied","Absent","Process","Written informed","A","no",""
22,Fundamentals of Nursing,684,"Which of these is responsible for informing risks, complication and benefits of a scheduled surgery?","Family member","Surgeon","Nurse","Nurse midwife","B","no",""
23,Fundamentals of Nursing,418,"The higher priority of information given to a patient after bronchoscopy includes:","Food and fluid will be withheld for at least two hours","Warm saline gargles will be done q2h","Coughing and deep breathing exercises will be done q2h","Only ice chips and cold liquids will be allowed initially","D","no",""
24,Fundamentals of Nursing,419,"Organs can be seen by laparoscope:","Abdominal organs","Pelvic organs","Thoracic organs","Both A and B","D","no",""
25,Fundamentals of Nursing,420,"Which gas is used for pneumoperitoneum in case of laparoscopy?","CO2","O2","hydrogen","nitrous oxide","A","no",""
26,Fundamentals of Nursing,421,"Which is the most frequently used gas for laparoscopy?","CO2","Helium","Nitrogen","Oxygen","A","no",""
27,Fundamentals of Nursing,422,"What is the other name for Vital signs?","Cardinal signs","Physical signs","Clinical signs","Body signs","A","no",""
28,Fundamentals of Nursing,423,"A client is admitted to the ward at 4 pm. She is posted for hemorrhoidectomy the next day morning. The nurse is expected to record the assessment of her vital signs. Before checking the blood pressure, the most important principle the nurse has to follow is:","Prepare the equipment and supplies","Explain the procedure to the client","Wash hands","Position the client","B","no",""
29,Fundamentals of Nursing,424,"Recording of vital signs of patient by nursing professionals is required:","To keep patient happy","To monitor progress and detect any adverse event","To fill the medical records","To have data for research","B","no",""
30,Fundamentals of Nursing,425,"The basic techniques of which of these are used to determine vital signs:","Inspection, palpation and auscultation","Inspection, blood work and X-rays","Rhythm, rate, and open communication","Psychology, physiology and nursing skills","A","no",""
31,Fundamentals of Nursing,426,"The cardinal signs of the body include the following, except:","Blood pressure level","Temperature","Blood glucose level","Heart beat","C","no",""
32,Fundamentals of Nursing,427,"The Fifth Vital sign is:","Mean arterial pressure","Pain","ABG analysis","SaO2","B","no",""
33,Fundamentals of Nursing,428,"Which of the following is considered the fifth vital sign in emergency department?","motor response","response to pain","verbal response","pupillary reaction to light","D","no",""
34,Fundamentals of Nursing,429,"A patient admitted to hospital. When assessing patient’s vital signs, which position should a patient be put ideally if no contraindications are there?","Sitting upright on a chair or bed","Lying flat on the back with knees flexed","Lying flat on back with arms extended","Side lying with flexed knees","A","no",""
35,Fundamentals of Nursing,430,"The nurse identifies that which of following sets of vital signs is within the normal range for an adult?","BP 130/90, P 72, R 24","BP 80/50, P 110, R 32","BP 110/80, P 56, R 20","BP 120/70, P 68, R 16","D","no",""
36,Fundamentals of Nursing,431,"At which level temperature in centigrade and Fahrenheit scale become equal?","73","0","Minus 40","Plus 40","C","no",""
37,Fundamentals of Nursing,432,"The range of body temperature in which body cells work efficiently:","34-41°C (94-106°F)","0 to 100°C","30 to 40°C","30 to 50°C","A","no",""
38,Fundamentals of Nursing,433,"Which of the following metals is in liquid state at room temperature?","Mercury","Sulphur","Sodium","Coal","A","no",""
39,Fundamentals of Nursing,434,"To correctly palpate the patient's skin for temperature determination, a nurse will use:","base of hands","palmar surface of hand","fingertips of hand","dorsal surface of hands","D","no",""
40,Fundamentals of Nursing,435,"The factors influencing heat production are: a. Oxidation of Food b. Anxiety... c. Sympathetic... d. Use of Narcotic...","a, b, c","b, c, d","a, c, d","a, b, c, d","A","no",""
41,Fundamentals of Nursing,436,"A hypothermic neonate is airlifted from snowing gulmarg and is admitted in NICU. The attending nurse is asked to record the core temperature by attending doctor while he is busy resuscitating another child. Which area would be most accurate of core temp.:","Axillary","Forehead skin","Oral temperature","Tympanic membrane","D","no",""
42,Fundamentals of Nursing,437,"Core body temperature is highest in the:","Early morning","Noon","Late afternoon","Night","C","no",""
43,Fundamentals of Nursing,438,"The thermometer in which the result are seen within 45 seconds is:","Electronic Thermometer","Clinical thermometer","Disposable thermometer","Tympanic membrane thermometer","C","no",""
44,Fundamentals of Nursing,439,"What should be used to clean a thermometer?","Boiled water","Chilled water","Tap water","Oil water","C","no",""
45,Fundamentals of Nursing,440,"A clinical thermometer indicates temperatures in degree Fahrenheit from:","94-108","96-108","94-110","96-110","C","no",""
46,Fundamentals of Nursing,441,"Strength of Savlon for disinfecting thermometer is:","1:20","1:30","1:40","1:10","A","no",""
47,Fundamentals of Nursing,442,"The thermometer used in common should be washed with soap and water and disinfected with strength of:","Dettol 1:20","Savlon 1:20","Lysol 1:20","Fairgenol 1:20","B","no",""
48,Fundamentals of Nursing,443,"Most reliable method of taking temperature:","By Rectum","By mouth","By axilla","None of them","A","no",""
49,Fundamentals of Nursing,444,"Right route to check temperature in children:","Oral method","Axillary method","Rectal method","All above","B","no",""
50,Fundamentals of Nursing,445,"Which route uses to identify hypothermia in a newborn?","Oral","Aural","Rectal","Surface probe","C","no",""
51,Fundamentals of Nursing,446,"Temperature recording is lowest, when it is taken from:","Rectum","Axilla","Mouth","Vagina","B","no",""
52,Fundamentals of Nursing,447,"Difference between oral & axillary temp. is:","1.6 degree Celsius","3 degree Celsius","1 degree Celsius","0.6 degree Celsius","D","no",""
53,Fundamentals of Nursing,448,"The difference between rectal and oral temperature is by:","1°F","2°F","0.5°F","1°C","A","no",""
54,Fundamentals of Nursing,450,"Normal rectal temperature is typically:","Lesser than oral temperature","Equal to oral temperature","Greater than oral temperature","No relation to oral temperature","C","no",""
55,Fundamentals of Nursing,451,"While taking temperature from rectal route in children thermometer should be inserted:","0.5 Inch","1 Inch","1.5 Inch","2 Inch","B","no",""
56,Fundamentals of Nursing,452,"A nurse is checking a rectal temperature with a mercury (glass) thermometer. Which of the following actions by the nurse is incorrect?","Insert thermometer through anal sphincter","Read thermometer with mercury at eye level","Apply water-soluble lubricant to thermometer before insertion","Leave the thermometer in place for 5 to 10 minutes before reading","D","no",""
57,Fundamentals of Nursing,453,"In which of the following clients is a rectal temperature most usually contraindicated?","Client who has had a myocardial infarction","Client with Parkinson’s disease","Client who is prone to seizures","Client with neuropathology associated with diabetes","A","no",""
58,Fundamentals of Nursing,454,"How long should a nurse wait after taking cold milk for recording oral temperature?","5 to 10 mts","10 to 20 mts","20 to 30 mts","30 to 40 mts","C","no",""
59,Fundamentals of Nursing,455,"All of the precautions are true while recording oral temperature of a patient except:","Measurement of temperature should be done on a fixed time of the day","It is measured at least 3 min after keeping thermometer sublingually with lips closed","Not to record in patient who recently smoked","Patient on oxygen inhalation, stop the oxygenation before recording oral temp.","D","no",""
60,Fundamentals of Nursing,456,"The nurse knows that the most appropriate method for assessing the temperature of a patient on seizure precautions is:","Electronic","Axillary","Oral","Rectal","B","no",""
61,Fundamentals of Nursing,457,"Convert 40 degree Celsius to Fahrenheit:","104","98","102","100","A","no",""
62,Fundamentals of Nursing,458,"If temperature of an object is 140-degree Fahrenheit, then its temperature in C is:","105 C","32 C","140 C","60 C","D","no",""
63,Fundamentals of Nursing,459,"A body temperature of 39 C is equivalent to a Fahrenheit temp. (in nearest degrees):","99","100","101","102","D","no",""
64,Fundamentals of Nursing,460,"Temperature of 98.7 degree Fahrenheit is approximately equal to .....degree Celsius:","38.16","37.56","36.52","37.06","D","no",""
65,Fundamentals of Nursing,461,"Which of the following formula is correct for conversion of Centigrade to Fahrenheit temp?","F=(C*(9/5))+32","F=(C+(9/5))+32","F=(C-(9/5))+32","F=(C/(9/5))+32","A","no",""
66,Fundamentals of Nursing,462,"What is the correct formula for converting Fahrenheit into centigrade?","C*9/5+32","F+32*5/9","F-32*5/9","F-32*9/5","C","no",""
67,Fundamentals of Nursing,463,"Fever is defined as temperature greater than:","38 C","35 C","37 C","36 C","A","no",""
68,Fundamentals of Nursing,464,"A fever is indicated when body temperature rises over oral temperature of:","98.6 degree F","99.5 degree F","97.8 degree F","100 degree F","B","no",""
69,Fundamentals of Nursing,465,"When body temperature is rises up to 105F-106F, the condition is known as:","Hypopyrexia","Hyperpyrexia","Normo-thermia","All","B","no",""
70,Fundamentals of Nursing,466,"Changes occur into pyrexia:","Increased pulse rate","Decreased pulse rate","Increased B.P","Decreased B.P","A","no",""
71,Fundamentals of Nursing,467,"A client with pyrexia will most likely demonstrate:","Dyspnea","Pericardial pain","Tachycardia","Elevated BP","C","no",""
72,Fundamentals of Nursing,468,"A client develops a temperature of 102F (38.8C) following an open-heart surgery. Nurse notifies the physician because elevated temperature indicates:","An increase in the cardiac output","Cerebral edema","A forerunner of hemorrhage","Possible diaphoresis and chilling","A","no",""
73,Fundamentals of Nursing,469,"The sudden fall of temperature from high to normal within a few hours is called:","Hypothermia","True crisis","Lysis","False crisis","B","no",""
74,Fundamentals of Nursing,470,"The type of fever in which the temperature fluctuates more than 2C, all above normal, during a 24-hour period is:","Intermittent fever","Remittent fever","Recurrent fever","Relapsing fever","B","no",""
75,Fundamentals of Nursing,471,"Ramu has a fever with 100F temperature. It rises to around 103F and comes down to 100F several times in a day in a typical pattern. What kind of fever is Ramu having?","Remittent","Relapsing","Intermittent","Constant","A","no",""
76,Fundamentals of Nursing,472,"Fever which spikes and falls to normal each day is termed as:","Sustained","Remittent","Intermittent","Spectic","C","no",""
77,Fundamentals of Nursing,473,"In which of following fever, body temperature alternates regularly between a period of fever and a period of normal or subnormal temp.?","Intermittent fever","Remittent fever","Relapsing fever","Constant fever","A","no",""
78,Fundamentals of Nursing,474,"Which stage called fastigium into patient with fever?","Initial stage of fever","Maximum and constable temperature","Temperature slowly becoming normal","Temperature fastly becoming normal","B","no",""
79,Fundamentals of Nursing,475,"Fever with relative bradycardia is seen in:","malaria","typhoid","filaria","diphtheria","B","no",""
80,Fundamentals of Nursing,476,"All of the following are nursing interventions for a patient with high fever except:","Give cold sponge bath","Check vital signs","Administer medications as prescribed","Restrict fluid intake","D","no",""
81,Fundamentals of Nursing,477,"All of the following are precautions in the care of a patient with high fever except:","Never leave a patient with high fever alone","Rigor & convulsion may occur at any time","Administer antipyretic drugs","Tepid cold sponging is not useful in patient not responding to antipyretics","D","no",""
82,Fundamentals of Nursing,478,"What is a common nursing intervention for a child with a high fever?","Apply ice directly to the child’s skin","Administer antipyretic drugs as prescribed","Encourage physical activity to reduce body temperature","Limit fluid intake to prevent dehydration","B","no",""
83,Fundamentals of Nursing,479,"Number of pulse beat per minute is known as:","Rate","Volume","Tension","Rhythm","A","no",""
